127.0.0.1 - - [03/Jan/2021:20:31:18 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:31:21 +0800] "GET /stuinfo3/ HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:31:21 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js;jsessionid=CED729371F79FD89E64E871319FD07C8 HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:31:21 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css;jsessionid=CED729371F79FD89E64E871319FD07C8 HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:31:21 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js;jsessionid=CED729371F79FD89E64E871319FD07C8 HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:31:21 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js;jsessionid=CED729371F79FD89E64E871319FD07C8 HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:31:39 +0800] "POST /stuinfo3/login;jsessionid=CED729371F79FD89E64E871319FD07C8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:31:42 +0800] "GET /stuinfo3/students HTTP/1.1" 200 10199
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:31:42 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:31:42 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:31:42 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
