127.0.0.1 - - [22/May/2021:10:41:17 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:23 +0800] "GET /carwork/ HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:23 +0800] "GET /carwork/resources/vendor/popper.js/popper.min.js;jsessionid=0CBDD85FA84FDA12C2CAF63EF5B92A91 HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:23 +0800] "GET /carwork/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css;jsessionid=0CBDD85FA84FDA12C2CAF63EF5B92A91 HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:23 +0800] "GET /carwork/resources/vendor/jquery/jquery-3.3.1.js;jsessionid=0CBDD85FA84FDA12C2CAF63EF5B92A91 HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:23 +0800] "GET /carwork/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js;jsessionid=0CBDD85FA84FDA12C2CAF63EF5B92A91 HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:57 +0800] "GET /carwork/ HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:57 +0800] "GET /carwork/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css;jsessionid=1ABDFAD364C9BA9E61F7683B34F3B87A HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:57 +0800] "GET /carwork/resources/vendor/popper.js/popper.min.js;jsessionid=1ABDFAD364C9BA9E61F7683B34F3B87A HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:57 +0800] "GET /carwork/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js;jsessionid=1ABDFAD364C9BA9E61F7683B34F3B87A HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:57 +0800] "GET /carwork/resources/vendor/jquery/jquery-3.3.1.js;jsessionid=1ABDFAD364C9BA9E61F7683B34F3B87A HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [22/May/2021:10:41:58 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:13 +0800] "POST /carwork/login;jsessionid=1ABDFAD364C9BA9E61F7683B34F3B87A HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:19 +0800] "GET /carwork/cars HTTP/1.1" 200 16438
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:19 +0800] "GET /carwork/resources/vendor/popper.js/popper.min.js HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:19 +0800] "GET /carwork/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:19 +0800] "GET /carwork/resources/js/common.js HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:19 +0800] "GET /carwork/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:19 +0800] "GET /carwork/resources/vendor/jquery/jquery-3.3.1.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:26 +0800] "GET /carwork/cars?pageNo=1&qryAreaName=%E6%AC%A3%E6%AC%A3%E5%B0%8F%E5%8C%BA&qryCarType=SUV&qryCarStatus=%E5%A4%96%E5%87%BA HTTP/1.1" 200 12626
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:31 +0800] "GET /carwork/cars HTTP/1.1" 200 16438
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:35 +0800] "GET /carwork/areas HTTP/1.1" 200 11332
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:36 +0800] "GET /carwork/resources/pics/default.png HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [22/May/2021:10:42:44 +0800] "GET /carwork/logout HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [22/May/2021:10:43:12 +0800] "GET /carwork/logout HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [22/May/2021:10:43:18 +0800] "GET /carwork/login HTTP/1.1" 200 1804
