127.0.0.1 - - [02/Jun/2021:10:14:02 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:14:08 +0800] "GET /stuinfo3/ HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:14:08 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js;jsessionid=E1AF4010F397FEC3BC1DBCFBF6B02211 HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:14:08 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js;jsessionid=E1AF4010F397FEC3BC1DBCFBF6B02211 HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:14:08 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js;jsessionid=E1AF4010F397FEC3BC1DBCFBF6B02211 HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:14:08 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css;jsessionid=E1AF4010F397FEC3BC1DBCFBF6B02211 HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:12 +0800] "POST /stuinfo3/login;jsessionid=E1AF4010F397FEC3BC1DBCFBF6B02211 HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:12 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:12 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:12 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:12 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:29 +0800] "POST /stuinfo3/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:31 +0800] "GET /stuinfo3/students HTTP/1.1" 200 14039
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:31 +0800] "GET /stuinfo3/resources/js/common.js HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:31 +0800] "GET /stuinfo3/resources/pics/default.png HTTP/1.1" 200 15408
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:31 +0800] "GET /stuinfo3/students/179/photo HTTP/1.1" 200 15429
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:31 +0800] "GET /stuinfo3/students/188/photo HTTP/1.1" 200 92776
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:15:31 +0800] "GET /stuinfo3/students/199/photo HTTP/1.1" 200 136767
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:02 +0800] "GET /stuinfo3/students/199 HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:02 +0800] "GET /stuinfo3/students/199/photo HTTP/1.1" 200 136767
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:13 +0800] "GET /stuinfo3/students?pageNo=2&qryStuName=&qryBeginMark=&qryEndMark=&qryStuSex=&qryStuOrigin= HTTP/1.1" 200 14155
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:13 +0800] "GET /stuinfo3/students/178/photo HTTP/1.1" 200 15429
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:13 +0800] "GET /stuinfo3/students/177/photo HTTP/1.1" 200 333765
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:13 +0800] "GET /stuinfo3/students/161/photo HTTP/1.1" 200 61069
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:15 +0800] "GET /stuinfo3/students?pageNo=3&qryStuName=&qryBeginMark=&qryEndMark=&qryStuSex=&qryStuOrigin= HTTP/1.1" 200 14153
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:15 +0800] "GET /stuinfo3/students/156/photo HTTP/1.1" 200 33916
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:15 +0800] "GET /stuinfo3/students/124/photo HTTP/1.1" 200 92776
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:15 +0800] "GET /stuinfo3/students/125/photo HTTP/1.1" 200 20424
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:19 +0800] "GET /stuinfo3/students?pageNo=2&qryStuName=&qryBeginMark=&qryEndMark=&qryStuSex=&qryStuOrigin= HTTP/1.1" 200 14155
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:19 +0800] "GET /stuinfo3/students/178/photo HTTP/1.1" 200 15429
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:19 +0800] "GET /stuinfo3/students/161/photo HTTP/1.1" 200 61069
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:19 +0800] "GET /stuinfo3/students/177/photo HTTP/1.1" 200 333765
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:28 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=&qryEndMark=&qryStuSex=&qryStuOrigin= HTTP/1.1" 200 14039
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:28 +0800] "GET /stuinfo3/students/199/photo HTTP/1.1" 200 136767
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:28 +0800] "GET /stuinfo3/students/188/photo HTTP/1.1" 200 92776
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:28 +0800] "GET /stuinfo3/students/179/photo HTTP/1.1" 200 15429
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:33 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=&qryEndMark=&qryStuSex=M&qryStuOrigin= HTTP/1.1" 200 13692
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:33 +0800] "GET /stuinfo3/students/179/photo HTTP/1.1" 200 15429
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:33 +0800] "GET /stuinfo3/students/125/photo HTTP/1.1" 200 20424
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:33 +0800] "GET /stuinfo3/students/161/photo HTTP/1.1" 200 61069
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:43 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=&qryEndMark=&qryStuSex=F&qryStuOrigin= HTTP/1.1" 200 14039
0:0:0:0:0:0:0:1 - - [02/Jun/2021:10:16:43 +0800] "GET /stuinfo3/students/188/photo HTTP/1.1" 200 92776
